Date,Price,Open,High,Low,Change %
3/11/2016,1.3228,1.3338,1.3344,1.3169,-0.82%
3/10/2016,1.3338,1.3248,1.3399,1.3228,0.66%
3/9/2016,1.3251,1.3407,1.3447,1.3224,-1.18%
3/8/2016,1.3409,1.328,1.3427,1.3275,0.98%
3/7/2016,1.3279,1.3313,1.3378,1.3259,-0.27%
3/4/2016,1.3315,1.3403,1.3472,1.3309,-0.64%
3/3/2016,1.3401,1.3414,1.3475,1.3367,-0.12%
3/2/2016,1.3417,1.3406,1.35,1.3402,0.07%
3/1/2016,1.3408,1.354,1.3554,1.3383,-0.97%
2/29/2016,1.354,1.3509,1.3589,1.3479,0.20%
2/26/2016,1.3513,1.3529,1.3566,1.3501,-0.13%
2/25/2016,1.3531,1.3697,1.3736,1.3513,-1.25%
2/24/2016,1.3702,1.3791,1.3861,1.3674,-0.67%
2/23/2016,1.3794,1.3701,1.3821,1.369,0.64%
2/22/2016,1.3706,1.3763,1.3794,1.3658,-0.44%
2/19/2016,1.3766,1.3725,1.3847,1.3714,0.30%
2/18/2016,1.3725,1.367,1.3754,1.3649,0.41%
2/17/2016,1.3669,1.3859,1.39,1.3663,-1.39%
2/16/2016,1.3861,1.3832,1.3912,1.3705,0.19%
2/15/2016,1.3835,1.385,1.3863,1.3795,-0.09%
2/12/2016,1.3847,1.3936,1.3967,1.3809,-0.63%
2/11/2016,1.3935,1.3923,1.4017,1.3879,0.07%
2/10/2016,1.3925,1.3862,1.4,1.3816,0.43%
2/9/2016,1.3865,1.3923,1.3962,1.3783,-0.42%
2/8/2016,1.3924,1.3908,1.398,1.3838,0.06%
2/5/2016,1.3915,1.3752,1.392,1.3705,1.18%
2/4/2016,1.3753,1.3776,1.3799,1.3635,-0.20%
2/3/2016,1.3781,1.4054,1.4103,1.3753,-1.94%
2/2/2016,1.4053,1.3946,1.4082,1.3935,0.76%
2/1/2016,1.3947,1.3971,1.4063,1.3904,-0.19%
1/29/2016,1.3973,1.4024,1.4111,1.3963,-0.40%
1/28/2016,1.4029,1.4094,1.4124,1.3946,-0.45%
1/27/2016,1.4093,1.4116,1.4158,1.4024,-0.16%
1/26/2016,1.4116,1.429,1.4327,1.4041,-1.22%
1/25/2016,1.4291,1.4116,1.4295,1.4116,1.23%
1/22/2016,1.4117,1.4265,1.4302,1.4111,-1.02%
1/21/2016,1.4263,1.45,1.4541,1.4225,-1.67%
1/20/2016,1.4505,1.4578,1.4692,1.447,-0.51%
1/19/2016,1.4579,1.4558,1.4591,1.4427,0.10%
1/18/2016,1.4564,1.4541,1.4654,1.4484,0.17%
1/15/2016,1.454,1.4364,1.4554,1.4339,1.21%
1/14/2016,1.4366,1.4338,1.4399,1.4331,0.17%
1/13/2016,1.4341,1.4257,1.4383,1.4183,0.55%
1/12/2016,1.4263,1.4211,1.4316,1.4172,0.33%
1/11/2016,1.4216,1.4167,1.4247,1.4062,0.32%
1/8/2016,1.417,1.4113,1.418,1.4055,0.38%
1/7/2016,1.4116,1.4071,1.4172,1.4046,0.31%
1/6/2016,1.4073,1.3992,1.4109,1.3969,0.54%
1/5/2016,1.3997,1.3949,1.4021,1.3893,0.32%
1/4/2016,1.3953,1.3836,1.3985,1.3812,0.75%
1/1/2016,1.3849,1.3839,1.387,1.3834,0.06%
12/31/2015,1.3841,1.3875,1.3904,1.3817,-0.27%
12/30/2015,1.3879,1.3841,1.3928,1.3824,0.27%
12/29/2015,1.3842,1.3902,1.3941,1.3812,-0.45%
12/28/2015,1.3905,1.3814,1.3917,1.3813,0.60%
12/25/2015,1.3822,1.3816,1.3842,1.3793,0.03%
12/24/2015,1.3818,1.3845,1.3876,1.3813,-0.20%
12/23/2015,1.3846,1.3918,1.3936,1.3831,-0.53%
12/22/2015,1.392,1.3957,1.3967,1.3912,-0.28%
12/21/2015,1.3959,1.3935,1.3995,1.391,0.03%
12/18/2015,1.3955,1.3935,1.4001,1.3851,0.13%
12/17/2015,1.3937,1.3775,1.3987,1.3774,1.14%
12/16/2015,1.378,1.3731,1.3849,1.3724,0.36%
12/15/2015,1.373,1.3732,1.3767,1.3669,-0.03%
12/14/2015,1.3734,1.3747,1.3781,1.3674,-0.16%
12/11/2015,1.3756,1.3624,1.3759,1.3619,0.97%
12/10/2015,1.3624,1.3578,1.3642,1.3528,0.35%
12/9/2015,1.3577,1.3584,1.3621,1.3513,-0.05%
12/8/2015,1.3584,1.3497,1.3621,1.3493,0.66%
12/7/2015,1.3495,1.3365,1.3525,1.3362,1.00%
12/4/2015,1.3362,1.3352,1.3417,1.3313,0.04%
12/3/2015,1.3357,1.3343,1.34,1.3289,0.10%
12/2/2015,1.3343,1.3353,1.3408,1.3308,-0.10%
12/1/2015,1.3357,1.3362,1.3391,1.3305,-0.04%
11/30/2015,1.3362,1.3365,1.3394,1.3308,-0.07%
11/27/2015,1.3372,1.3292,1.3377,1.3286,0.59%
11/26/2015,1.3293,1.3288,1.3326,1.328,0.05%
11/25/2015,1.3286,1.3301,1.334,1.3276,-0.13%
11/24/2015,1.3303,1.336,1.3378,1.3281,-0.46%
11/23/2015,1.3364,1.3335,1.3437,1.3324,0.16%
11/20/2015,1.3343,1.3284,1.3357,1.3266,0.46%
11/19/2015,1.3282,1.3301,1.3315,1.3242,-0.13%
11/18/2015,1.3299,1.3317,1.337,1.3294,-0.15%
11/17/2015,1.3319,1.3326,1.3346,1.3293,-0.09%
11/16/2015,1.3331,1.332,1.3373,1.3288,0.06%
11/13/2015,1.3323,1.329,1.3351,1.3263,0.23%
11/12/2015,1.3292,1.3259,1.3341,1.3221,0.23%
11/11/2015,1.3261,1.3273,1.3285,1.3228,-0.11%
11/10/2015,1.3276,1.3286,1.3298,1.3241,-0.07%
11/9/2015,1.3285,1.33,1.3311,1.324,-0.17%
11/6/2015,1.3307,1.317,1.3317,1.3153,1.06%
11/5/2015,1.3167,1.3145,1.3188,1.3136,0.15%
11/4/2015,1.3147,1.3059,1.3193,1.3041,0.67%
11/3/2015,1.306,1.3092,1.3168,1.3034,-0.27%
11/2/2015,1.3095,1.3074,1.3118,1.3061,0.13%
10/30/2015,1.3078,1.3167,1.3193,1.3052,-0.71%
10/29/2015,1.3172,1.3189,1.324,1.3129,-0.15%
10/28/2015,1.3192,1.3264,1.3281,1.3086,-0.57%
10/27/2015,1.3267,1.3152,1.3275,1.3149,0.87%
10/26/2015,1.3153,1.3161,1.3186,1.3117,-0.08%
10/23/2015,1.3164,1.3088,1.32,1.3037,0.57%
10/22/2015,1.3089,1.3137,1.316,1.308,-0.38%
10/21/2015,1.3139,1.2978,1.3144,1.2965,1.24%
10/20/2015,1.2978,1.3018,1.3048,1.2931,-0.31%
10/19/2015,1.3019,1.2912,1.303,1.2897,0.84%
10/16/2015,1.2911,1.2862,1.2941,1.2848,0.36%
10/15/2015,1.2865,1.2933,1.2951,1.2827,-0.55%
10/14/2015,1.2936,1.3034,1.3039,1.2907,-0.79%
10/13/2015,1.3039,1.2997,1.3081,1.2953,0.33%
10/12/2015,1.2996,1.2949,1.3013,1.2899,0.41%
10/9/2015,1.2943,1.3015,1.3023,1.2897,-0.57%
10/8/2015,1.3017,1.3055,1.3075,1.2975,-0.31%
10/7/2015,1.3057,1.3033,1.3075,1.297,0.17%
10/6/2015,1.3035,1.3083,1.3137,1.3022,-0.40%
10/5/2015,1.3087,1.3153,1.3176,1.3062,-0.47%
10/2/2015,1.3149,1.3265,1.327,1.3147,-0.90%
10/1/2015,1.3268,1.331,1.3334,1.3215,-0.35%
9/30/2015,1.3315,1.3421,1.3433,1.3302,-0.79%
9/29/2015,1.3421,1.3396,1.3458,1.3368,0.16%
9/28/2015,1.3399,1.3331,1.3399,1.3314,0.46%
9/25/2015,1.3337,1.3301,1.3356,1.3294,0.27%
9/24/2015,1.3301,1.3319,1.3418,1.3287,-0.14%
9/23/2015,1.332,1.3271,1.3358,1.3229,0.38%
9/22/2015,1.327,1.3251,1.3299,1.3215,0.11%
9/21/2015,1.3256,1.3203,1.3265,1.3172,0.22%
9/18/2015,1.3227,1.318,1.3232,1.3007,0.33%
9/17/2015,1.3183,1.3168,1.3207,1.3069,0.08%
9/16/2015,1.3172,1.3248,1.3261,1.3158,-0.57%
9/15/2015,1.3248,1.3264,1.3274,1.3223,-0.11%
9/14/2015,1.3263,1.3257,1.3282,1.3222,0.01%
9/11/2015,1.3262,1.3249,1.3311,1.3211,0.06%
9/10/2015,1.3254,1.3256,1.3289,1.3174,-0.02%
9/9/2015,1.3257,1.3207,1.3262,1.3151,0.37%
9/8/2015,1.3208,1.3306,1.3312,1.3181,-0.74%
9/7/2015,1.3307,1.3273,1.331,1.3242,0.17%
9/4/2015,1.3284,1.3177,1.3291,1.3159,0.82%
9/3/2015,1.3176,1.3268,1.329,1.3133,-0.68%
9/2/2015,1.3266,1.3257,1.3326,1.3196,0.05%
9/1/2015,1.326,1.3138,1.3261,1.3116,0.94%
8/31/2015,1.3137,1.3199,1.3328,1.3113,-0.48%
8/28/2015,1.3201,1.3196,1.33,1.3163,0.02%
8/27/2015,1.3198,1.329,1.3307,1.3176,-0.71%
8/26/2015,1.3292,1.3334,1.335,1.3247,-0.31%
8/25/2015,1.3334,1.3284,1.3355,1.3144,0.34%
8/24/2015,1.3289,1.3183,1.329,1.3157,0.78%
8/21/2015,1.3186,1.3088,1.3189,1.3058,0.73%
8/20/2015,1.309,1.3124,1.3179,1.3056,-0.30%
8/19/2015,1.313,1.3059,1.3178,1.302,0.54%
8/18/2015,1.3059,1.3078,1.3128,1.3037,-0.15%
8/17/2015,1.3078,1.3085,1.3154,1.3056,-0.08%
8/14/2015,1.3088,1.3058,1.3097,1.3012,0.24%
8/13/2015,1.3057,1.2972,1.3093,1.2955,0.62%
8/12/2015,1.2976,1.3113,1.3157,1.2948,-1.04%
8/11/2015,1.3113,1.2999,1.3153,1.2991,0.86%
8/10/2015,1.3001,1.3129,1.3182,1.2989,-0.98%
8/7/2015,1.313,1.3107,1.3184,1.3047,0.16%
8/6/2015,1.3109,1.3176,1.3199,1.3092,-0.54%
8/5/2015,1.318,1.3192,1.3215,1.3107,-0.08%
8/4/2015,1.3191,1.315,1.3202,1.3102,0.29%
8/3/2015,1.3153,1.3094,1.3178,1.3077,0.49%
7/31/2015,1.3089,1.2993,1.3095,1.294,0.68%
7/30/2015,1.3,1.2943,1.3045,1.2938,0.42%
7/29/2015,1.2946,1.292,1.297,1.2859,0.19%
7/28/2015,1.2921,1.3035,1.3044,1.2907,-0.90%
7/27/2015,1.3039,1.3034,1.3049,1.2977,-0.08%
7/24/2015,1.3049,1.3035,1.3103,1.3013,0.11%
7/23/2015,1.3035,1.303,1.3048,1.2946,0.01%
7/22/2015,1.3034,1.2946,1.3055,1.2932,0.66%
7/21/2015,1.2948,1.2989,1.3015,1.2914,-0.36%
7/20/2015,1.2995,1.297,1.3027,1.295,0.19%
7/17/2015,1.2971,1.2952,1.3008,1.2944,0.13%
7/16/2015,1.2954,1.2909,1.2971,1.2901,0.31%
7/15/2015,1.2914,1.2725,1.296,1.2719,1.49%
7/14/2015,1.2724,1.274,1.2807,1.2715,-0.13%
7/13/2015,1.2741,1.2671,1.2792,1.2668,0.66%
7/10/2015,1.2658,1.2703,1.2756,1.2652,-0.38%
7/9/2015,1.2706,1.2744,1.2751,1.2662,-0.32%
7/8/2015,1.2747,1.2704,1.2771,1.2684,0.34%
7/7/2015,1.2704,1.2651,1.278,1.264,0.42%
7/6/2015,1.2651,1.2569,1.2664,1.256,0.61%
7/3/2015,1.2574,1.2536,1.2604,1.2534,0.29%
7/2/2015,1.2538,1.2588,1.2635,1.2535,-0.41%
7/1/2015,1.2589,1.2492,1.2599,1.2471,0.77%
6/30/2015,1.2493,1.2403,1.2501,1.2358,0.73%
6/29/2015,1.2402,1.2341,1.2414,1.2302,0.68%
6/26/2015,1.2318,1.2326,1.2398,1.2309,-0.09%
6/25/2015,1.2329,1.238,1.24,1.2308,-0.44%
6/24/2015,1.2383,1.2322,1.2423,1.2273,0.45%
6/23/2015,1.2328,1.2308,1.2386,1.2304,0.16%
6/22/2015,1.2308,1.2265,1.2329,1.2215,0.34%
6/19/2015,1.2266,1.2221,1.2295,1.221,0.36%
6/18/2015,1.2222,1.2227,1.2251,1.2124,-0.03%
6/17/2015,1.2226,1.2291,1.2335,1.2217,-0.55%
6/16/2015,1.2294,1.2324,1.2349,1.228,-0.26%
6/15/2015,1.2326,1.2315,1.2361,1.2293,0.03%
6/12/2015,1.2322,1.2287,1.2349,1.2273,0.25%
6/11/2015,1.2291,1.2252,1.2354,1.2249,0.30%
6/10/2015,1.2254,1.2336,1.2353,1.2199,-0.67%
6/9/2015,1.2337,1.241,1.2443,1.2304,-0.59%
6/8/2015,1.241,1.2439,1.2471,1.2379,-0.23%
6/5/2015,1.2439,1.2502,1.2564,1.2424,-0.52%
6/4/2015,1.2504,1.2451,1.2505,1.2431,0.40%
6/3/2015,1.2454,1.2398,1.251,1.238,0.43%
6/2/2015,1.2401,1.2519,1.2535,1.2363,-0.97%
6/1/2015,1.2523,1.2439,1.2564,1.2435,0.60%
5/29/2015,1.2448,1.2436,1.2529,1.2406,0.10%
5/28/2015,1.2435,1.2451,1.2537,1.2417,-0.14%
5/27/2015,1.2452,1.2431,1.2494,1.2391,0.14%
5/26/2015,1.2434,1.2315,1.2449,1.2301,1.00%
5/25/2015,1.2311,1.2282,1.2319,1.2273,0.26%
5/22/2015,1.2279,1.2193,1.2324,1.2168,0.66%
5/21/2015,1.2199,1.2205,1.2244,1.2167,-0.07%
5/20/2015,1.2208,1.223,1.2257,1.2165,-0.20%
5/19/2015,1.2232,1.2159,1.225,1.2126,0.59%
5/18/2015,1.216,1.201,1.2172,1.1997,1.23%
5/15/2015,1.2012,1.1982,1.2069,1.1976,0.24%
5/14/2015,1.1983,1.1954,1.2008,1.1916,0.22%
5/13/2015,1.1957,1.2014,1.203,1.1926,-0.49%
5/12/2015,1.2016,1.2103,1.2109,1.1974,-0.73%
5/11/2015,1.2104,1.2075,1.2146,1.2061,0.27%
5/8/2015,1.2071,1.2127,1.2148,1.2042,-0.47%
5/7/2015,1.2128,1.2047,1.2165,1.2028,0.68%
5/6/2015,1.2046,1.2068,1.2089,1.1938,-0.17%
5/5/2015,1.2066,1.2095,1.2133,1.1999,-0.24%
5/4/2015,1.2095,1.2155,1.2183,1.2083,-0.53%
5/1/2015,1.2159,1.2076,1.2205,1.2059,0.69%
4/30/2015,1.2076,1.2016,1.2131,1.1993,0.46%
4/29/2015,1.2021,1.2034,1.2074,1.1942,-0.11%
4/28/2015,1.2034,1.2084,1.2119,1.2011,-0.43%
4/27/2015,1.2086,1.2181,1.2196,1.2078,-0.77%
4/24/2015,1.218,1.2139,1.2188,1.2099,0.29%
4/23/2015,1.2145,1.2235,1.2271,1.2116,-0.75%
4/22/2015,1.2237,1.228,1.2288,1.2207,-0.36%
4/21/2015,1.2281,1.2218,1.2307,1.2209,0.47%
4/20/2015,1.2223,1.222,1.2261,1.2178,-0.22%
4/17/2015,1.225,1.2185,1.2273,1.2084,0.52%
4/16/2015,1.2187,1.2287,1.2329,1.2139,-0.82%
4/15/2015,1.2288,1.2484,1.2571,1.2278,-1.59%
4/14/2015,1.2486,1.2595,1.2605,1.2441,-0.87%
4/13/2015,1.2595,1.2574,1.2647,1.2554,0.26%
4/10/2015,1.2562,1.2575,1.2669,1.256,-0.14%
4/9/2015,1.258,1.2545,1.2615,1.2503,0.29%
4/8/2015,1.2543,1.2502,1.256,1.2384,0.30%
4/7/2015,1.2506,1.2479,1.2524,1.2451,0.22%
4/6/2015,1.2479,1.245,1.2507,1.2433,-0.04%
4/3/2015,1.2484,1.2557,1.2576,1.2426,-0.57%
4/2/2015,1.2556,1.2616,1.2655,1.2553,-0.52%
4/1/2015,1.2621,1.2682,1.2711,1.2572,-0.53%
3/31/2015,1.2688,1.2674,1.2785,1.2648,0.10%
3/30/2015,1.2675,1.2597,1.2707,1.2591,0.52%
3/27/2015,1.261,1.2478,1.2623,1.2463,1.02%
3/26/2015,1.2483,1.252,1.2533,1.2406,-0.26%
3/25/2015,1.2516,1.2491,1.2541,1.2471,0.18%
3/24/2015,1.2494,1.2522,1.2549,1.2426,-0.24%
3/23/2015,1.2524,1.2554,1.2616,1.2493,-0.22%
3/20/2015,1.2551,1.2715,1.2727,1.2545,-1.32%
3/19/2015,1.2719,1.2562,1.276,1.2505,1.22%
3/18/2015,1.2566,1.2789,1.2836,1.2474,-1.74%
3/17/2015,1.2789,1.2772,1.2797,1.2747,0.13%
3/16/2015,1.2773,1.2772,1.2818,1.2732,-0.09%
3/13/2015,1.2784,1.2682,1.2825,1.2679,0.77%
3/12/2015,1.2686,1.2748,1.2769,1.2617,-0.52%
3/11/2015,1.2752,1.2688,1.2798,1.2662,0.50%
3/10/2015,1.2689,1.26,1.2692,1.2596,0.68%
3/9/2015,1.2603,1.262,1.2628,1.2571,-0.15%
3/6/2015,1.2622,1.2484,1.2629,1.2453,1.09%
3/5/2015,1.2486,1.2426,1.2519,1.2405,0.47%
3/4/2015,1.2428,1.2496,1.2541,1.2404,-0.54%
3/3/2015,1.2496,1.2532,1.2545,1.2429,-0.31%
3/2/2015,1.2535,1.2478,1.2565,1.2473,0.22%
2/27/2015,1.2508,1.2513,1.2531,1.2446,-0.06%
2/26/2015,1.2515,1.2434,1.2536,1.2383,0.64%
2/25/2015,1.2436,1.2486,1.2499,1.2398,-0.38%
2/24/2015,1.2483,1.2568,1.2665,1.2476,-0.72%
2/23/2015,1.2573,1.2527,1.2626,1.2519,0.36%
2/20/2015,1.2528,1.2493,1.2566,1.2418,0.26%
2/19/2015,1.2496,1.2454,1.2548,1.2431,0.33%
2/18/2015,1.2455,1.2389,1.2467,1.2376,0.53%
2/17/2015,1.2389,1.2465,1.2479,1.2359,-0.62%
2/16/2015,1.2466,1.2445,1.249,1.2418,0.14%
2/13/2015,1.2449,1.2508,1.2538,1.2418,-0.46%
2/12/2015,1.2506,1.263,1.2648,1.2436,-1.01%
2/11/2015,1.2633,1.2585,1.27,1.2568,0.37%
2/10/2015,1.2587,1.2463,1.2624,1.2446,0.95%
2/9/2015,1.2468,1.2535,1.2546,1.2425,-0.46%
2/6/2015,1.2526,1.2433,1.2549,1.2414,0.73%
2/5/2015,1.2435,1.2574,1.2587,1.239,-1.11%
2/4/2015,1.2574,1.2413,1.2591,1.2386,1.28%
2/3/2015,1.2415,1.2561,1.2644,1.2351,-1.21%
2/2/2015,1.2567,1.273,1.2772,1.2553,-1.30%
1/30/2015,1.2732,1.2614,1.2798,1.2602,0.91%
1/29/2015,1.2617,1.2536,1.2678,1.2507,0.64%
1/28/2015,1.2537,1.2394,1.2539,1.2383,1.10%
1/27/2015,1.24,1.2472,1.2499,1.2376,-0.60%
1/26/2015,1.2475,1.2441,1.2492,1.24,0.44%
1/23/2015,1.242,1.2378,1.2456,1.2356,0.31%
1/22/2015,1.2381,1.2339,1.2421,1.231,0.32%
1/21/2015,1.2341,1.2111,1.2395,1.206,1.87%
1/20/2015,1.2114,1.1941,1.2117,1.1932,1.47%
1/19/2015,1.1939,1.1974,1.1987,1.193,-0.38%
1/16/2015,1.1985,1.1957,1.2046,1.1946,0.21%
1/15/2015,1.196,1.1948,1.1997,1.1799,0.08%
1/14/2015,1.1951,1.1956,1.2018,1.1925,-0.05%
1/13/2015,1.1957,1.1973,1.1995,1.1922,-0.14%
1/12/2015,1.1974,1.1862,1.1975,1.1832,0.90%
1/9/2015,1.1867,1.1826,1.189,1.1801,0.31%
1/8/2015,1.183,1.1811,1.1845,1.1792,0.14%
1/7/2015,1.1814,1.1833,1.1876,1.1809,-0.19%
1/6/2015,1.1836,1.1762,1.184,1.1728,0.61%
1/5/2015,1.1764,1.1777,1.182,1.1739,-0.17%
1/2/2015,1.1784,1.1611,1.1786,1.1596,1.44%
1/1/2015,1.1617,1.162,1.1624,1.1609,-0.03%
