Date,Price,Open,High,Low,Change %,
2-Feb-16,1.4207,1.4049,1.4217,1.4017,1.04%,2/2/2016
1-Feb-16,1.4061,1.4094,1.4198,1.4031,-0.38%,2/1/2016
29-Jan-16,1.4115,1.4112,1.4171,1.3996,0.01%,1/29/2016
28-Jan-16,1.4114,1.4231,1.4269,1.4019,-0.84%,1/28/2016
27-Jan-16,1.4233,1.4273,1.4302,1.4112,-0.30%,1/27/2016
26-Jan-16,1.4276,1.4372,1.446,1.4233,-0.71%,1/26/2016
25-Jan-16,1.4378,1.4296,1.439,1.4213,0.68%,1/25/2016
22-Jan-16,1.4281,1.4284,1.4317,1.4184,-0.06%,1/22/2016
21-Jan-16,1.4289,1.4474,1.4548,1.4239,-1.30%,1/21/2016
20-Jan-16,1.4477,1.447,1.4646,1.443,0.00%,1/20/2016
19-Jan-16,1.4477,1.4558,1.4631,1.4366,-0.61%,1/19/2016
18-Jan-16,1.4566,1.4545,1.4645,1.4432,0.06%,1/18/2016
15-Jan-16,1.4557,1.4308,1.4651,1.4271,1.68%,1/15/2016
14-Jan-16,1.4316,1.4368,1.4474,1.4284,-0.41%,1/14/2016
13-Jan-16,1.4375,1.4306,1.4391,1.4178,0.43%,1/13/2016
12-Jan-16,1.4313,1.429,1.4414,1.4235,0.13%,1/12/2016
11-Jan-16,1.4295,1.4376,1.4441,1.4203,-0.60%,1/11/2016
8-Jan-16,1.4382,1.4255,1.4388,1.4128,0.84%,1/8/2016
7-Jan-16,1.4262,1.4134,1.433,1.4102,0.86%,1/7/2016
6-Jan-16,1.414,1.3955,1.4188,1.3935,1.26%,1/6/2016
5-Jan-16,1.3964,1.39,1.4026,1.3852,0.43%,1/5/2016
4-Jan-16,1.3904,1.3697,1.3976,1.3686,1.48%,1/4/2016
1-Jan-16,1.3701,1.3727,1.374,1.3689,-0.26%,1/1/2016
31-Dec-15,1.3737,1.3717,1.3771,1.3641,0.09%,12/31/2015
30-Dec-15,1.3724,1.3702,1.3758,1.3686,0.14%,12/30/2015
29-Dec-15,1.3705,1.3789,1.3805,1.3684,-0.65%,12/29/2015
28-Dec-15,1.3795,1.3721,1.3803,1.3712,-0.07%,12/28/2015
25-Dec-15,1.3805,1.3729,1.3805,1.3667,0.50%,12/25/2015
24-Dec-15,1.3737,1.382,1.384,1.3719,-0.64%,12/24/2015
