Date,Price,Open,High,Low,Change %
3/11/2016,0.8967,0.8948,0.9024,0.8922,0.22%
3/10/2016,0.8948,0.9084,0.9242,0.8913,-1.52%
3/9/2016,0.9086,0.9084,0.9137,0.906,0.00%
3/8/2016,0.9086,0.9078,0.91,0.9042,0.07%
3/7/2016,0.908,0.9082,0.9142,0.9068,-0.08%
3/4/2016,0.9087,0.9125,0.9173,0.9054,-0.42%
3/3/2016,0.9125,0.9195,0.9216,0.9112,-0.84%
3/2/2016,0.9202,0.92,0.9238,0.9189,-0.01%
3/1/2016,0.9203,0.9196,0.9232,0.9178,0.07%
2/29/2016,0.9197,0.9146,0.9211,0.912,0.57%
2/26/2016,0.9145,0.9074,0.9166,0.9033,0.80%
2/25/2016,0.9072,0.9077,0.9103,0.9047,-0.10%
2/24/2016,0.9081,0.9072,0.9127,0.9051,0.08%
2/23/2016,0.9074,0.9065,0.9102,0.9046,0.09%
2/22/2016,0.9066,0.8985,0.909,0.8978,0.95%
2/19/2016,0.8981,0.9002,0.9039,0.8975,-0.24%
2/18/2016,0.9003,0.8985,0.9036,0.8967,0.19%
2/17/2016,0.8986,0.8971,0.9003,0.8944,0.14%
2/16/2016,0.8973,0.8962,0.8992,0.8933,0.10%
2/15/2016,0.8964,0.8886,0.8988,0.8883,0.93%
2/12/2016,0.8881,0.8825,0.8919,0.8822,0.57%
2/11/2016,0.8831,0.8857,0.8872,0.8789,-0.30%
2/10/2016,0.8858,0.8853,0.8961,0.8839,0.03%
2/9/2016,0.8855,0.8929,0.8959,0.8818,-0.85%
2/8/2016,0.8931,0.8961,0.9022,0.8913,-0.35%
2/5/2016,0.8962,0.8921,0.9004,0.889,0.45%
2/4/2016,0.8922,0.9004,0.9034,0.8896,-0.92%
2/3/2016,0.9005,0.9155,0.9173,0.897,-1.68%
2/2/2016,0.9159,0.9183,0.9188,0.9139,-0.27%
2/1/2016,0.9184,0.9229,0.9248,0.9162,-0.48%
1/29/2016,0.9228,0.9139,0.9252,0.9132,0.94%
1/28/2016,0.9142,0.9178,0.9202,0.9116,-0.42%
1/27/2016,0.9181,0.9197,0.9217,0.9158,-0.18%
1/26/2016,0.9198,0.9216,0.9244,0.9195,-0.21%
1/25/2016,0.9217,0.9258,0.927,0.9208,-0.49%
1/22/2016,0.9262,0.9193,0.9271,0.9191,0.72%
1/21/2016,0.9196,0.9179,0.9278,0.9155,0.15%
1/20/2016,0.9182,0.9165,0.9195,0.9109,0.16%
1/19/2016,0.9167,0.9179,0.921,0.9139,-0.15%
1/18/2016,0.9181,0.9157,0.9202,0.9137,0.22%
1/15/2016,0.9161,0.9202,0.9214,0.9102,-0.47%
1/14/2016,0.9204,0.9189,0.9231,0.9135,0.11%
1/13/2016,0.9194,0.9207,0.9257,0.9182,-0.17%
1/12/2016,0.921,0.9206,0.9243,0.9172,0.02%
1/11/2016,0.9208,0.9152,0.9218,0.9113,0.66%
1/8/2016,0.9148,0.9145,0.9258,0.9142,0.04%
1/7/2016,0.9144,0.9273,0.9284,0.9137,-1.41%
1/6/2016,0.9275,0.9302,0.9331,0.9258,-0.31%
1/5/2016,0.9304,0.9231,0.9338,0.9224,0.78%
1/4/2016,0.9232,0.9207,0.9277,0.9133,0.26%
1/1/2016,0.9208,0.9207,0.9224,0.9198,0.01%
12/31/2015,0.9207,0.9143,0.9216,0.9141,0.66%
12/30/2015,0.9147,0.9156,0.9175,0.9136,-0.14%
