Date,Price,Open,High,Low,Change %
4/15/2016,0.7044,0.707,0.7075,0.7022,-0.30%
4/14/2016,0.7066,0.704,0.7097,0.7034,0.37%
4/13/2016,0.704,0.7004,0.7046,0.7002,0.50%
4/12/2016,0.7005,0.7021,0.7045,0.6969,-0.24%
4/11/2016,0.7022,0.7076,0.709,0.6998,-0.81%
4/08/2016,0.7079,0.7114,0.7124,0.707,-0.49%
4/7/2016,0.7114,0.7078,0.7119,0.7062,0.47%
4/6/2016,0.7081,0.7061,0.7139,0.7055,0.27%
4/5/2016,0.7062,0.701,0.7082,0.7002,0.71%
4/4/2016,0.7012,0.7031,0.7046,0.6981,-0.24%
4/1/2016,0.7029,0.6962,0.706,0.6956,0.95%
3/31/2016,0.6963,0.6954,0.6982,0.693,0.13%
3/30/2016,0.6954,0.6948,0.6964,0.6915,0.03%
3/29/2016,0.6952,0.7015,0.7046,0.6941,-0.91%
3/28/2016,0.7016,0.7074,0.7083,0.7001,-0.76%
3/25/2016,0.707,0.7065,0.7087,0.706,0.06%
3/24/2016,0.7066,0.7081,0.7114,0.7049,-0.25%
3/23/2016,0.7084,0.7038,0.7102,0.7027,0.65%
3/22/2016,0.7038,0.6957,0.7048,0.6944,1.12%
3/21/2016,0.696,0.6904,0.6962,0.6904,0.78%
3/18/2016,0.6906,0.6905,0.694,0.6888,0.00%
3/17/2016,0.6906,0.7012,0.7032,0.6894,-1.53%
3/16/2016,0.7013,0.7064,0.7116,0.7004,-0.75%
3/15/2016,0.7066,0.6991,0.7074,0.6987,1.04%
3/14/2016,0.6993,0.6951,0.6996,0.6948,0.52%
3/11/2016,0.6957,0.7003,0.7016,0.6925,-0.67%
3/10/2016,0.7004,0.7031,0.7083,0.6983,-0.40%
3/9/2016,0.7032,0.7036,0.7055,0.702,-0.07%
3/8/2016,0.7037,0.7009,0.7056,0.7004,0.39%
3/7/2016,0.701,0.7024,0.7076,0.7,-0.26%
3/4/2016,0.7028,0.7052,0.7088,0.7017,-0.37%
3/3/2016,0.7054,0.7101,0.7128,0.7043,-0.69%
3/2/2016,0.7103,0.7169,0.7187,0.7094,-0.92%
3/1/2016,0.7169,0.7184,0.7194,0.7133,-0.24%
2/29/2016,0.7186,0.7208,0.7228,0.7169,-0.32%
2/26/2016,0.7209,0.7161,0.7218,0.7119,0.67%
2/25/2016,0.7161,0.7178,0.7194,0.7143,-0.26%
2/24/2016,0.718,0.7131,0.7206,0.7126,0.69%
2/23/2016,0.7131,0.7067,0.7139,0.7061,0.91%
2/22/2016,0.7067,0.694,0.7114,0.694,1.80%
2/19/2016,0.6942,0.6972,0.7019,0.6938,-0.49%
2/18/2016,0.6976,0.6995,0.7016,0.6946,-0.27%
2/17/2016,0.6995,0.6988,0.7026,0.6973,0.07%
2/16/2016,0.699,0.6925,0.7005,0.6888,0.89%
2/15/2016,0.6928,0.6895,0.6939,0.6878,0.51%
2/12/2016,0.6893,0.6906,0.6925,0.6862,-0.20%
