Date,Price,Open,High,Low,Change %
3/11/2016,66.96,67.316,67.326,66.901,-0.53%
3/10/2016,67.316,67.118,67.373,66.885,0.28%
3/9/2016,67.128,67.315,67.515,67.052,-0.27%
3/8/2016,67.313,66.979,67.47,66.978,0.48%
3/7/2016,66.989,66.979,67.156,66.922,0.08%
3/4/2016,66.938,67.112,67.355,66.871,-0.27%
3/3/2016,67.122,67.4,67.46,67.112,-0.41%
3/2/2016,67.395,67.589,67.765,67.382,-0.53%
3/1/2016,67.753,68.196,68.36,67.667,-0.67%
2/29/2016,68.208,68.727,68.792,68.193,-0.77%
2/26/2016,68.737,68.769,68.86,68.62,-0.05%
2/25/2016,68.768,68.421,68.909,68.374,0.49%
2/24/2016,68.431,68.551,68.66,68.376,-0.19%
2/23/2016,68.561,68.543,68.69,68.45,0.04%
2/22/2016,68.533,68.68,68.725,68.495,-0.02%
2/19/2016,68.545,68.521,68.686,68.511,0.00%
2/18/2016,68.542,68.312,68.6,68.306,0.31%
2/17/2016,68.329,68.472,68.69,68.304,-0.21%
2/16/2016,68.474,68.13,68.512,68.051,0.50%
2/15/2016,68.132,68.109,68.27,68,0.02%
2/12/2016,68.118,68.461,68.496,68.1,-0.52%
2/11/2016,68.471,67.852,68.489,67.775,0.90%
2/10/2016,67.861,67.9,67.996,67.788,-0.06%
2/9/2016,67.901,68.044,68.22,67.871,-0.20%
2/8/2016,68.034,67.87,68.067,67.77,0.33%
2/5/2016,67.81,67.536,67.84,67.485,0.39%
2/4/2016,67.544,67.75,67.895,67.514,-0.57%
2/3/2016,67.934,67.967,68.265,67.919,-0.06%
2/2/2016,67.975,67.807,68.043,67.754,0.21%
2/1/2016,67.835,67.868,67.971,67.63,-0.06%
1/29/2016,67.878,68.043,68.18,67.775,-0.26%
1/28/2016,68.053,68.14,68.265,68.007,-0.13%
1/27/2016,68.144,67.756,68.185,67.729,0.60%
1/26/2016,67.739,67.717,67.909,67.687,-0.02%
1/25/2016,67.755,67.569,67.85,67.483,0.30%
1/22/2016,67.549,67.816,67.869,67.537,-0.37%
1/21/2016,67.799,67.945,68.12,67.787,-0.23%
1/20/2016,67.957,67.724,68.18,67.721,0.33%
1/19/2016,67.734,67.652,67.8,67.515,0.11%
1/18/2016,67.662,67.781,67.791,67.49,-0.17%
1/15/2016,67.775,67.318,67.869,67.245,0.68%
1/14/2016,67.316,66.908,67.49,66.907,0.59%
1/13/2016,66.918,66.938,66.953,66.72,-0.04%
1/12/2016,66.946,66.756,66.98,66.73,0.28%
1/11/2016,66.76,66.864,66.965,66.698,-0.13%
1/8/2016,66.847,66.881,66.93,66.59,-0.07%
1/7/2016,66.891,66.702,66.981,66.497,0.29%
1/6/2016,66.698,66.489,66.905,66.469,0.33%
1/5/2016,66.481,66.589,66.663,66.418,-0.15%
1/4/2016,66.579,66.155,66.66,66.155,0.52%
1/1/2016,66.235,66.199,66.267,66.12,0.04%
12/31/2015,66.208,66.474,66.484,66.08,-0.40%
12/30/2015,66.475,66.247,66.495,66.224,0.36%
12/29/2015,66.235,66.143,66.43,66.126,0.15%
12/28/2015,66.137,66.02,66.22,66.02,0.17%
12/25/2015,66.025,65.936,66.03,65.936,0.12%
12/24/2015,65.947,66.048,66.162,65.936,-0.14%
12/23/2015,66.037,66.232,66.285,66.001,-0.31%
12/22/2015,66.244,66.258,66.36,66.166,-0.01%
12/21/2015,66.251,66.308,66.385,66.179,-0.01%
12/18/2015,66.255,66.401,66.535,66.218,-0.25%
12/17/2015,66.421,66.445,66.685,66.25,-0.08%
12/16/2015,66.475,66.856,66.947,66.421,-0.58%
12/15/2015,66.863,67.082,67.135,66.76,-0.34%
12/14/2015,67.093,67.09,67.18,66.955,-0.08%
12/11/2015,67.148,66.751,67.148,66.733,0.59%
12/10/2015,66.757,66.845,66.935,66.671,-0.15%
12/9/2015,66.855,66.852,66.96,66.715,0.00%
12/8/2015,66.857,66.767,66.895,66.7,0.13%
